COD_ART,DESCRIPCION,EAN13
INO205,NODORO A LA TURCA BLANCO 615 2da,7798115118606
BID201-1,BIDE 1 AGUJERO BLANCO LINEA ACQUA 2da,7798115118491
BID201-3, BIDE 3 AGUJEROS BLANCO LINEA ACQUA 2da,7798115118507
BID202-1,BIDE 1 AGUJERO BLANCO LINEA LOFT 2da,7798115118514
BID202-3,BIDE 3 AGUJEROS BLANCO LINEA LOFT 2da,7798115118521
BID203-1,BIDE 1 AGUJERO BLANCO LINEA URBAN 2da,7798115118538
BID203-3,BIDE 3 AGUJEROS BLANCO LINEA URBAN 2da,7798115118545
BID204-1,BIDE 1 AGUJERO BLANCO LINEA STONE 2da,7798115118552
BID204-3,BIDE 3 AGUJEROS BLANCO LINEA STONE 2da,7798115118569
BID204N-1,BIDE 1 AGUJERO BLACK LINEA STONE 2da,7798115118576
BID204N-3,BIDE 3 AGUJEROS BLACK LINEA STONE 2da,7798115118583
INO201-1,INODORO BLANCO C/ASIENTO LINEA ACQUA 2da,7798115118392
INO201-2,DEPOSITO C/DESCARGA DUAL BLANCO LINEA ACQUA 2da,7798115118408
INO202-1,INODORO BLANCO C/ASIENTO LINEA LOFT 2da,7798115118415
INO202-2,DEPOSITO C/DESCARGA DUAL BLANCO LINEA LOFT 2da,7798115118422
INO203-1,INODORO BLANCO C/ASIENTO LINEA URBAN 2da,7798115118439
INO203-2,DEPOSITO C/DESCARGA DUAL BLANCO LINEA URBAN 2da,7798115118446
INO204-1,INODORO BLANCO C/ASIENTO LINEA STONE 2da,7798115118453
INO204-2, DEPOSITO C/DESCARGA DUAL BLANCO LINEA STONE 2da,7798115118460
INO204N-1,INODORO BLACK C/ASIENTO LINEA STONE 2da,7798115118477
INO204N-2,DEPOSITO C/DESCARGA DUAL BLACK LINEA STONE 2da,7798115118484
20-100C,MONOCOMANDO DE COCINA FABRIC CROMO,7798115118378
RA1490,KIT DUCHADOR FABRIC CR (FLEX-SOPORTE-DUCHADOR),7798115118316
RA1588,CARTUCHO TRANSFERENCIA DUCHA EMB MONOC FABRIC,7798115118231
RA1255,DUCHA DE MANO CILINDRICA DE LATON VERA,7798115118637
84-203ST,DUCHA EXT C/COLUMNA CR ADRA,7798115118217
LG05S20,MONOCOMANDO DE COCINA BRUSH BLAUEN,7798115118088
LG05C20,MONOCOMANDO DE COCINA CR BLAUEN,7798115118071
LG07C20,MONOCOMANDO DE COCINA CR ZURICH,7798115118095
RA1050N,VOLANTE MALLORCA NEGRO,7798115117951
RA1051N,VOLANTE MALLORCA TRANSF NEGRO,7798115117968
RA1458,CARTUCHO CERAMICO HAIRUI MONOC VALENCIA,7798115117913
RA1576,TUERCAS Y NIPLES P / JGOS EXTERIORES ( 2 C/U),7798115117906
A1573,EXHIBIDOR DE RESPUESTOS 20 POSICIONES,7798115117890
RA1511,AIREDOR SIMPLE FUNCION M22x1 MOVE CR (ALTERNATIVO) ,7798115117678
RA1502,CABEZAL DERECHO PLASTICO CIERRE CERAMICO FRIA,7798115117654
RA1503,CABEZAL IZQUIERDO PLASTICO CIERRE CERAMICO CALIENTE,7798115117647
RA1220G,CAÑO DE DUCHA 400 MM + CAMPANA GOLD,7798115117548
A1540,CUERPO VALVULA DE DESAGOTE P/INODORO TECNO 02-010/011,7798115117975
A1539G,TAPA Y TECLA PARA VALVULA DE DESCARGA CUADRADA MINIMALISTA GOLD,7798115117494
A1539GR,TAPA Y TECLA PARA VALVULA DE DESCARGA CUADRADA MINIMALISTA GRAFITO,7798115117517
A1539N,TAPA Y TECLA PARA VALVULA DE DESCARGA CUADRADA MINIMALISTA BLACK,7798115117500
A1539NI,TAPA Y TECLA PARA VALVULA DE DESCARGA CUADRADA MINIMALISTA NICKEL,7798115117524
A1539RG,TAPA Y TECLA PARA VALVULA DE DESCARGA CUADRADA MINIMALISTA ROSE GOLD,7798115117531
A1539,TAPA Y TECLA PARA VALVULA DE DESCARGA CUADRADA MINIMALISTA CR,7798115117487
20-182N,MONOCOMANDO DE COCINA MULTIFUNCION BLACK ZENITH,7798115117401
20-182,MONOCOMANDO DE COCINA MULTIFUNCION CR ZENITH,7798115117395
RU1022,CHAPA METALICA P/ DUCHA EMB VERA IMPORT,7798115118309
RA1119-2N,VOLANTE MONOCOMANDO COLORS BLACK,7798115117562
60-169N,LAVATORIO MONOC BAJO BLACK PARIS,7798115117340
61-169N,LAVATORIO MONOC ALTO BLACK PARIS,7798115117357
90-166N,PACK GRIF. ADRA BLACK PLUS  (Lav-Bide-Ducha c/t Plus),7798115117364
PDU101,PISO DUCHA RESINA POLIESTER BLANCA 900 X 700 X 25,7798115117272
PDU101N,PISO DUCHA RESINA POLIESTER NEGRO 900 X 700 X 25,7798115117302
PDU102,PISO DUCHA RESINA POLIESTER BLANCA 1200 X 700 X 25,7798115117289
PDU102N,PISO DUCHA RESINA POLIESTER NEGRO 1200 X 700 X 25,7798115117319
PDU103,PISO DUCHA RESINA POLIESTER BLANCA 1600 X 700 X 25,7798115117296
PDU103N,PISO DUCHA RESINA POLIESTER NEGRO 1600 X 700 X 25,7798115117326
PDU120,DESAGUE P/PISO DE DUCHA,7798115117333
RA1385N,FLEXIBLE EXTENSIBLE NEGRO MONOC COCINA VALENCIA,7798115117807
80-203PL,DUCHA EMB C/TRANSF. MONOCOMANDO ADRA DUCHA CUADRADA,7798115117258
