COD_ART;DESCRIPCION;EAN13
203-E;LAVATORIO A SOPAPA CR VERIN;7798077387065
214-CR;LAVATORIO CR/CR ARES;7798077382503
215-C;"LAVATORIO C/CERAM.CROMO ""MURCIA""";7798077383104
303-E;BIDE A SOPAPA CR VERIN;7798077387072
314-CR;BIDE CROMO ARES;7798077382510
315-C;BIDE CR C.CERAM MURCIA;7798077383111
414-CR;DUCHA EXT.C/TRANSF.CR/CR ARES;7798077382534
423-E;DUCHA EMB. C/TANSF. CR VERIN;7798077387096
434-CR;DUCHA EMB.C/TRANSF CR ARES;7798077382527
435-C;DUCHA EMB.C/TRANSF CR C.CERAM MURCIA;7798077383135
454-CR;DUCHA EXT.S/TRANSF.CR/CR ARES;7798077382558
474-CR;DUCHA EMB.S/TRANF.CRUZ CR/CR ARES;7798077382541
744-CR;JGO.P/LAVARROPA CR/CR ARES;7798077382589
814-CR;MESADA P.FUNDIDO CR/CR ARES;7798077386310
814-CRC;MESADA P.FUNDIDO CR/CR C.CERAM. ARES;7798077386327
835-C;JGO.MDA.P.FUND. CR C.CERAM. MURCIA;7798077383142
910-E;MESADA PICO CANO VERIN;7798077387171
910-M;"JGO.MDA.P.CANO CROMO ""DIQUE""";7798077389106
914-CR;JGO.MDA.P.CAÑO CR ARES;7798077382565
915-CR;COCINA MESADA CROMO MEDEA;7798077385344
919-M;JGO.MDA.P.CANO CROMO LAZA;7798077382176
933-E;COCINA PARED EXT. C/EXT. CROMO VERIN;7798077387188
934-CR;J.PARED C/EXT CRUZ CR/CR ARES;7798077389342
943-E;COCINA PARED EMB. CR VERIN;7798077387195
944-CR;JGO COC.PARED EMB.CRUZ CR/CR ARES;7798077382572
984-CR;JGO PARED EXT CR P. FUNDIDO STD ARES;7798160583053
984-CRC;JGO PARED EXT CR P. FUNDIDO CCERAM ARES;7798077388109
50-002;MESADA PICO FUNDIDO RENACER CROMO;7798077380165
60-135;LAVATORIO C.CERAM SANTANDER;7798077380448
70-135;BIDE C.CERAM SANTANDER;7798077380455
455;DUCHA EMB. C/TRANSF. CR/BL MEDEA;7798077380462
456;DUCHA EMB. S/TRANSF. CR/BL MEDEA;7798077380479
70-107;BIDE CR C.CERAM BEDIA;7798077380509
80-107;DUCHA EMB. C/TRANSF. CR C.CERAM BEDIA;7798077380523
51-107;JGO. MESADA CR C.CERAM BEDIA;7798077380561
80-135;DUCHA EMB. C/TRANSF. C.CERAM SANTANDER;7798077380851
62-135;LAVATORIO P/PARED C.CERAM SANTANDER;7798077380868
20-134;MONOCOMANDO COCINA BETIS;7798077381018
60-136;LAVATORIO C.CERAM CR MARBELLA PLUS;7798077381025
70-136;BIDE C.CERAM CR MARBELLA PLUS;7798077381032
80-136;DUCHA EMB. C/TRANSF. CR C.C. MARBELLA PLUS;7798077381049
80-138;DUCHA EMB. C/TRANSF. CR C.CERAM VALENCIA PLUS;7798077381124
20-135;MONOCOMANDO COCINA SANTANDER;7798077381131
60-139;LAVATORIO C.CERAM CR BETIS GM;7798077381148
70-139;BIDE C.CERAM CR BETIS GM;7798077381155
80-139;DUCHA EMB. C/TRANSF. CR C.C. BETIS GM;7798077381247
02-010;VALVULA P/INODORO TEMPORIZADA TECNO;7798077381285
60-138;LAVATORIO C.CERAM CR VALENCIA PLUS;7798077381315
70-138;BIDE C.CERAM CR VALENCIA PLUS;7798077381322
60-018;LAVATORIO CR. STD RODA;7798077381353
214;LAVATORIO CRUZ BL/CR ARES;7798077381407
314;BIDE CRUZ BL/CR ARES;7798077381414
434;DUCHA EMB.C/TRANSF CRUZ BL/CR ARES;7798077381421
